; CSV, generated by DSView, sampled on 2025-08-30 21:34:11
; Channels (3/16)
; Sample rate: 100 MHz
; Sample count: 2.896 M Samples
Time(s), 0, 1, 2
0,0,0,0
1.3e-07,1,0,0
1.8e-07,0,0,0
3.3e-07,1,0,0
3.8e-07,0,0,0
5.3e-07,1,0,0
5.8e-07,0,0,0
7.4e-07,1,0,0
7.9e-07,0,0,0
9.4e-07,1,0,0
9.9e-07,0,0,0
1.13e-06,1,0,0
1.18e-06,0,0,0
1.33e-06,1,0,0
1.38e-06,0,0,0
1.53e-06,1,0,0
1.58e-06,0,0,0
1.73e-06,1,0,0
1.78e-06,0,0,0
1.94e-06,1,0,0
1.98e-06,0,0,0
2.14e-06,1,0,0
2.19e-06,0,0,0
2.34e-06,1,0,0
2.39e-06,0,0,0
2.53e-06,1,0,0
2.58e-06,0,0,0
2.73e-06,1,0,0
2.78e-06,0,0,0
2.93e-06,1,0,0
2.98e-06,0,0,0
3.13e-06,1,0,0
3.18e-06,0,0,0
3.33e-06,1,0,0
3.38e-06,0,0,0
3.54e-06,1,0,0
3.59e-06,0,0,0
3.74e-06,1,0,0
3.79e-06,0,0,0
3.94e-06,1,0,0
3.99e-06,0,0,0
4.13e-06,1,0,0
4.18e-06,0,0,0
4.33e-06,1,0,0
4.38e-06,0,0,0
4.53e-06,1,0,0
4.58e-06,0,0,0
4.73e-06,1,0,0
4.78e-06,0,0,0
4.93e-06,1,0,0
4.98e-06,0,0,0
5.13e-06,1,0,0
5.18e-06,0,0,0
5.33e-06,1,0,0
5.38e-06,0,0,0
5.53e-06,1,0,0
5.58e-06,0,0,0
5.73e-06,1,0,0
5.78e-06,0,0,0
5.94e-06,1,0,0
5.98e-06,0,0,0
6.14e-06,1,0,0
6.19e-06,0,0,0
6.34e-06,1,0,0
6.38e-06,0,0,0
6.53e-06,1,0,0
6.58e-06,0,0,0
6.73e-06,1,0,0
6.78e-06,0,0,0
6.93e-06,1,0,0
6.98e-06,0,0,0
7.13e-06,1,0,0
7.18e-06,0,0,0
7.33e-06,1,0,0
7.38e-06,0,0,0
7.54e-06,1,0,0
7.59e-06,0,0,0
7.74e-06,1,0,0
7.78e-06,0,0,0
7.94e-06,1,0,0
7.99e-06,0,0,0
8.13e-06,1,0,0
8.18e-06,0,0,0
8.33e-06,1,0,0
8.38e-06,0,0,0
8.54e-06,1,0,0
8.59e-06,0,0,0
8.74e-06,1,0,0
8.79e-06,0,0,0
8.93e-06,1,0,0
8.98e-06,0,0,0
9.13e-06,1,0,0
9.18e-06,0,0,0
9.33e-06,1,0,0
9.38e-06,0,0,0
9.53e-06,1,0,0
9.58e-06,0,0,0
9.73e-06,1,0,0
9.78e-06,0,0,0
9.93e-06,1,0,0
9.98e-06,0,0,0
1.014e-05,1,0,0
1.019e-05,0,0,0
1.034e-05,1,0,0
1.039e-05,0,0,0
1.053e-05,1,0,0
1.058e-05,0,0,0
1.073e-05,1,0,0
1.078e-05,0,0,0
1.094e-05,1,0,0
1.099e-05,0,0,0
1.114e-05,1,0,0
1.119e-05,0,0,0
1.134e-05,1,0,0
1.139e-05,0,0,0
1.153e-05,1,0,0
1.158e-05,0,0,0
1.173e-05,1,0,0
1.178e-05,0,0,0
1.193e-05,1,0,0
1.198e-05,0,0,0
1.213e-05,1,0,0
1.218e-05,0,0,0
1.233e-05,1,0,0
1.238e-05,0,0,0
1.254e-05,1,0,0
1.259e-05,0,0,0
1.274e-05,1,0,0
1.279e-05,0,0,0
1.294e-05,1,0,0
1.299e-05,0,0,0
1.313e-05,1,0,0
1.318e-05,0,0,0
1.333e-05,1,0,0
1.338e-05,0,0,0
1.353e-05,1,0,0
1.358e-05,0,0,0
1.374e-05,1,0,0
1.379e-05,0,0,0
1.394e-05,1,0,0
1.399e-05,0,0,0
1.414e-05,1,0,0
1.419e-05,0,0,0
1.434e-05,1,0,0
1.439e-05,0,0,0
1.454e-05,1,0,0
1.459e-05,0,0,0
1.473e-05,1,0,0
1.478e-05,0,0,0
1.493e-05,1,0,0
1.498e-05,0,0,0
1.514e-05,1,0,0
1.519e-05,0,0,0
1.534e-05,1,0,0
1.539e-05,0,0,0
1.554e-05,1,0,0
1.559e-05,0,0,0
1.573e-05,1,0,0
1.578e-05,0,0,0
1.593e-05,1,0,0
1.598e-05,0,0,0
1.614e-05,1,0,0
1.619e-05,0,0,0
1.634e-05,1,0,0
1.639e-05,0,0,0
1.654e-05,1,0,0
1.659e-05,0,0,0
1.674e-05,1,0,0
1.679e-05,0,0,0
1.693e-05,1,0,0
1.698e-05,0,0,0
1.714e-05,1,0,0
1.718e-05,0,0,0
1.734e-05,1,0,0
1.738e-05,0,0,0
1.753e-05,1,0,0
1.758e-05,0,0,0
1.774e-05,1,0,0
1.779e-05,0,0,0
1.794e-05,1,0,0
1.798e-05,0,0,0
1.814e-05,1,0,0
1.819e-05,0,0,0
1.833e-05,1,0,0
1.838e-05,0,0,0
1.853e-05,1,0,0
1.858e-05,0,0,0
1.873e-05,1,0,0
1.878e-05,0,0,0
1.894e-05,1,0,0
1.899e-05,0,0,0
1.914e-05,1,0,0
1.918e-05,0,0,0
1.934e-05,1,0,0
1.939e-05,0,0,0
1.954e-05,1,0,0
1.959e-05,0,0,0
1.974e-05,1,0,0
1.979e-05,0,0,0
1.994e-05,1,0,0
1.999e-05,0,0,0
2.014e-05,1,0,0
2.018e-05,0,0,0
2.033e-05,1,0,0
2.038e-05,0,0,0
2.054e-05,1,0,0
2.058e-05,0,0,0
